priority_rank,disease_id,disease_type,attention_level,growth_trend,first_inspection,last_inspection,first_area_px,last_area_px,area_growth_rate,area_growth_px,first_risk_level,last_risk_level,risk_level_change,last_mileage_range,main_clock_direction,recheck_reason,recheck_suggestion,growth_description
1,D005,water_leakage,重点关注,基本稳定,I001,I003,9733,9733,0.0,0,高,高,0,K12+006.0,12点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议优先安排人工复核，并在下一次巡检中重点跟踪。,病害 D005 为渗水，主要位于 K12+006.0，12点方向。该病害共出现在 3 次巡检中，首次巡检 I001 最大面积约为 9733 px²，末次巡检 I003 最大面积约为 9733 px²，面积变化 0 px²，增长率约为 0.0%。风险等级由高变为高，趋势判断为基本稳定，关注等级为重点关注。
2,D006,crack,重点关注,基本稳定,I001,I003,9733,9733,0.0,0,高,高,0,K12+033.5,7点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议优先安排人工复核，并在下一次巡检中重点跟踪。,病害 D006 为裂缝，主要位于 K12+033.5，7点方向。该病害共出现在 3 次巡检中，首次巡检 I001 最大面积约为 9733 px²，末次巡检 I003 最大面积约为 9733 px²，面积变化 0 px²，增长率约为 0.0%。风险等级由高变为高，趋势判断为基本稳定，关注等级为重点关注。
3,D001,spalling,重点关注,基本稳定,I001,I003,9726,9726,0.0,0,高,高,0,K12+019.5,3点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议优先安排人工复核，并在下一次巡检中重点跟踪。,病害 D001 为剥落，主要位于 K12+019.5，3点方向。该病害共出现在 3 次巡检中，首次巡检 I001 最大面积约为 9726 px²，末次巡检 I003 最大面积约为 9726 px²，面积变化 0 px²，增长率约为 0.0%。风险等级由高变为高，趋势判断为基本稳定，关注等级为重点关注。
4,D002,spalling,重点关注,基本稳定,I001,I003,9726,9726,0.0,0,高,高,0,K12+020.0,4点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议优先安排人工复核，并在下一次巡检中重点跟踪。,病害 D002 为剥落，主要位于 K12+020.0，4点方向。该病害共出现在 3 次巡检中，首次巡检 I001 最大面积约为 9726 px²，末次巡检 I003 最大面积约为 9726 px²，面积变化 0 px²，增长率约为 0.0%。风险等级由高变为高，趋势判断为基本稳定，关注等级为重点关注。
5,D003,crack,重点关注,基本稳定,I001,I003,9726,9726,0.0,0,高,高,0,K12+008.5,5点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议优先安排人工复核，并在下一次巡检中重点跟踪。,病害 D003 为裂缝，主要位于 K12+008.5，5点方向。该病害共出现在 3 次巡检中，首次巡检 I001 最大面积约为 9726 px²，末次巡检 I003 最大面积约为 9726 px²，面积变化 0 px²，增长率约为 0.0%。风险等级由高变为高，趋势判断为基本稳定，关注等级为重点关注。
6,D004,spalling,重点关注,基本稳定,I001,I003,9726,9726,0.0,0,高,高,0,K12+089.5,11点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议优先安排人工复核，并在下一次巡检中重点跟踪。,病害 D004 为剥落，主要位于 K12+089.5，11点方向。该病害共出现在 3 次巡检中，首次巡检 I001 最大面积约为 9726 px²，末次巡检 I003 最大面积约为 9726 px²，面积变化 0 px²，增长率约为 0.0%。风险等级由高变为高，趋势判断为基本稳定，关注等级为重点关注。
7,D010,crack,重点关注,基本稳定,I001,I003,5751,5751,0.0,0,高,高,0,K12+019.0,2点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议优先安排人工复核，并在下一次巡检中重点跟踪。,病害 D010 为裂缝，主要位于 K12+019.0，2点方向。该病害共出现在 3 次巡检中，首次巡检 I001 最大面积约为 5751 px²，末次巡检 I003 最大面积约为 5751 px²，面积变化 0 px²，增长率约为 0.0%。风险等级由高变为高，趋势判断为基本稳定，关注等级为重点关注。
8,D008,water_leakage,重点关注,基本稳定,I001,I003,5692,5692,0.0,0,高,高,0,K12+017.0,10点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议优先安排人工复核，并在下一次巡检中重点跟踪。,病害 D008 为渗水，主要位于 K12+017.0，10点方向。该病害共出现在 3 次巡检中，首次巡检 I001 最大面积约为 5692 px²，末次巡检 I003 最大面积约为 5692 px²，面积变化 0 px²，增长率约为 0.0%。风险等级由高变为高，趋势判断为基本稳定，关注等级为重点关注。
9,D009,spalling,重点关注,基本稳定,I001,I003,5664,5664,0.0,0,高,高,0,K12+013.5,3点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议优先安排人工复核，并在下一次巡检中重点跟踪。,病害 D009 为剥落，主要位于 K12+013.5，3点方向。该病害共出现在 3 次巡检中，首次巡检 I001 最大面积约为 5664 px²，末次巡检 I003 最大面积约为 5664 px²，面积变化 0 px²，增长率约为 0.0%。风险等级由高变为高，趋势判断为基本稳定，关注等级为重点关注。
10,D007,water_leakage,重点关注,面积减小,I001,I003,9733,5692,-0.4152,-4041,高,高,0,K12+082.0,8点,该病害被判定为重点关注对象；末次巡检风险等级为高。,建议优先安排人工复核，并在下一次巡检中重点跟踪。,病害 D007 为渗水，主要位于 K12+082.0，8点方向。该病害共出现在 3 次巡检中，首次巡检 I001 最大面积约为 9733 px²，末次巡检 I003 最大面积约为 5692 px²，面积变化 -4041 px²，增长率约为 -41.5%。风险等级由高变为高，趋势判断为面积减小，关注等级为重点关注。
